id,score,vdw,elec,desolv,bsa,total
green-fox-onyx,-85.1148,-51.8486,-86.8126,-15.9037,2362.68,-138.6612
violet-bat-iron,-150.296,-76.9565,-114.663,-50.4069,3048.33,-191.61950000000002
lunar-swan-clay,-73.3874,-38.7061,-83.6113,-17.959,2787.17,-122.31739999999999
frozen-owl-sand,-99.2731,-57.4238,-110.491,-19.7511,2493.55,-167.9148
hollow-panda-granite,-134.2787,-65.9479,-213.058,-25.7192,2257.18,-279.0059
radiant-hawk-opal,-103.0253,-65.2837,-41.2831,-29.485,2271.27,-106.5668
dark-crane-clay,-134.1178,-74.0839,-39.9245,-52.049,2798.36,-114.0084
violet-swan-sand,-125.2337,-90.9761,-162.599,-1.73779,2794.07,-253.5751
jade-deer-oak,-122.6939,-72.6211,-279.635,5.85421,3120.91,-352.2561
dark-lynx-stone,-120.2545,-87.0979,-141.153,-4.926,3329.48,-228.2509
vast-fox-birch,-76.8067,-68.5668,-85.4839,8.85691,2751.9,-154.0507
shy-lynx-wave,-56.8747,-34.0038,-82.0938,-6.45214,2277.33,-116.0976
rapid-deer-lotus,-108.5776,-85.3682,-53.6359,-12.4822,3324.33,-139.0041
pale-kiwi-fern,-87.5077,-51.0612,-198.022,3.15792,2370.32,-249.08319999999998
gentle-swan-ember,-58.4081,-21.4144,-264.931,15.9925,3000.53,-286.3454
steady-owl-ash,-205.7614,-84.7511,-395.68,-41.8743,4097.36,-480.4311
crimson-deer-quartz,-168.739,-117.688,-130.098,-25.0314,4566.9,-247.786
frozen-lion-opal,-356.6778,-246.658,-247.471,-60.5256,8717.26,-494.129
calm-orca-jade,-37.8047,-37.9268,17.8396,-3.44577,2132.07,-20.0872
amber-moth-wave,-62.4459,-34.5379,13.6495,-30.6379,1475.23,-20.8884
jade-bat-iron,-75.1728,-43.2984,-33.4673,-25.1809,2642.62,-76.76570000000001
jade-ox-lotus,-61.4179,-27.7546,-13.4466,-30.974,1736.01,-41.2012
strong-bee-lotus,-22.862,-9.62761,18.4108,-16.9166,1821.73,8.783189999999998
deep-falcon-plume,-78.8766,-61.1039,-156.929,13.6131,2444.66,-218.0329
amber-crane-plume,-51.0269,-33.4677,-189.599,20.3606,2210.37,-223.0667
silent-mole-vine,-44.6628,-50.5969,-65.6369,19.0615,2586.98,-116.2338
silent-crane-birch,-124.0925,-49.5994,-464.014,18.3097,3079.9,-513.6134
young-vole-crystal,-158.5531,-89.1161,-418.5,14.263,3195.45,-507.6161
silver-quail-snow,-151.4281,-72.5829,-473.897,15.9342,3164.38,-546.4799
green-boar-sand,-163.0309,-92.6286,-445.747,18.7471,3050.66,-538.3756000000001
quick-quail-pine,-162.5435,-107.089,-250.238,-5.40688,3234.27,-357.327
radiant-dove-thorn,-139.4529,-74.5677,-403.767,15.8682,3164.11,-478.3347
calm-raven-willow,-175.4317,-98.2731,-482.839,19.4092,3232.99,-581.1121
shy-orca-wave,-148.4081,-71.4175,-491.863,21.382,3216.06,-563.2805
dark-deer-willow,-148.6694,-75.3572,-467.555,20.1988,3094.22,-542.9122
soft-fox-snow,-93.3244,-46.4782,-328.893,18.9324,2499.0,-375.3712
green-seal-jade,-142.3661,-71.2177,-381.928,5.23717,3923.2,-453.1457
mellow-bee-vine,-65.9888,-41.3385,-28.9788,-18.8545,1613.87,-70.3173
silver-bee-ice,-76.3284,-52.3514,-110.042,-1.96862,1953.22,-162.39339999999999
shy-vole-pearl,-21.3834,-2.51207,-36.1596,-11.6394,1431.03,-38.67167
mellow-orca-opal,-33.2632,-34.8147,13.1877,-1.08604,1652.2,-21.627000000000002
calm-swan-lotus,-143.2737,-79.6684,-104.49,-42.7073,2818.73,-184.1584
silver-moth-opal,-57.4827,-30.2932,-123.52,-2.48549,1516.19,-153.8132
pale-jaguar-orchid,-117.7628,-65.9101,-339.807,16.1087,2366.32,-405.7171
ivory-eagle-maple,-108.8795,-54.1008,-281.485,1.51835,2029.84,-335.5858
lunar-quail-frost,-125.621,-69.1264,-133.035,-29.8876,3355.98,-202.16140000000001
violet-hawk-fern,-51.9682,-26.0728,-190.07,12.1186,1430.47,-216.1428
green-lynx-willow,-127.1122,-92.6072,2.92196,-35.0894,3518.87,-89.68524000000001
misty-panda-moss,-19.3093,-19.033,2.77996,-0.832337,920.49,-16.253040000000002
ivory-lion-cedar,-102.8179,-72.2805,-30.0609,-24.5252,3226.85,-102.34140000000001
scarlet-vole-snow,-30.3858,-34.6083,-111.291,26.4807,1630.58,-145.89929999999998
noble-bison-stone,-56.4905,-7.50044,-348.818,20.7735,869.654,-356.31844
brisk-jaguar-willow,-121.0238,-59.6296,-161.314,-29.1314,2814.78,-220.9436
bright-quail-stone,-171.2556,-76.7636,-122.925,-69.907,3742.98,-199.6886
deep-kiwi-rose,-162.4577,-83.1076,-224.46,-34.4581,3176.74,-307.5676
golden-tiger-granite,-109.6627,-42.2285,-367.748,6.11539,2478.35,-409.9765
crimson-kiwi-ice,-123.69,-51.2216,-247.411,-22.9862,2745.39,-298.6326
brisk-seal-ruby,-86.32,-44.7231,-215.646,1.53235,1761.25,-260.3691
brisk-cobra-onyx,-103.362,-72.421,-119.264,-7.08823,2681.73,-191.685
hollow-fox-fern,-46.1676,-33.508,-10.1731,-10.625,1474.53,-43.6811
green-lynx-quartz,-107.8134,-55.9814,-97.7556,-32.2809,2852.8,-153.737
ivory-moth-fern,-41.2383,-20.3011,-81.2415,-4.68885,1290.77,-101.54260000000001
quiet-jaguar-leaf,-132.119,-76.2588,-133.696,-29.121,2985.52,-209.95479999999998
pale-fox-frost,-88.5163,-56.9003,-45.6797,-22.4801,1727.54,-102.58
rough-orca-stone,-86.0802,-40.4831,-47.5291,-36.0913,2859.14,-88.0122
solid-heron-rose,-76.355,-31.544,-118.339,-21.1432,2643.99,-149.883
small-ant-iron,-77.4388,-46.1985,-17.6817,-27.704,1801.79,-63.8802
golden-cat-opal,-45.9608,-23.5208,-12.3197,-19.9761,1436.21,-35.8405
radiant-heron-cedar,-87.1365,-59.6419,-82.4805,-10.9985,3603.54,-142.1224
gentle-lion-birch,-152.4258,-74.3302,-292.441,-19.6074,2942.93,-366.77119999999996
scarlet-ram-ruby,-177.2296,-66.3385,-465.452,-17.8007,3094.88,-531.7905
calm-vole-rose,-187.8903,-97.431,-300.471,-30.3651,3142.37,-397.902
brisk-falcon-ash,-191.2526,-79.9001,-512.554,-8.8417,2986.88,-592.4540999999999
calm-heron-sand,-141.9393,-47.342,-350.065,-24.5843,3086.23,-397.407
ivory-wolf-lotus,-134.7232,-59.0082,-301.278,-15.4594,2922.13,-360.2862
azure-deer-orchid,-138.58,-73.8196,-198.092,-25.142,3137.43,-271.9116
vast-deer-jade,-137.5587,-70.8846,-273.337,-12.0067,3313.33,-344.22159999999997
lunar-heron-jade,-131.7429,-47.2081,-327.334,-19.068,2798.51,-374.5421
violet-zebra-cloud,-110.595,-68.0028,-270.766,11.561,2403.41,-338.7688
misty-ram-sand,-156.3042,-87.028,-467.937,24.3112,3092.09,-554.965
quiet-ant-lava,-21.1463,-23.7392,-2.32187,3.05724,1432.75,-26.06107
solid-mole-cypress,-66.7815,-34.4951,-111.146,-10.0572,1757.25,-145.6411
silver-jaguar-stone,-58.7706,-33.9969,-206.91,16.6083,1360.39,-240.9069
misty-bison-vine,-30.7242,-31.8807,11.511,-1.14567,1225.99,-20.3697
frozen-cat-fern,-53.0039,-32.9145,-89.9605,-2.09735,2180.28,-122.875
gentle-kiwi-cloud,-54.8889,-27.1633,-187.805,9.83543,1376.74,-214.9683
violet-seal-crystal,-46.5278,-28.4972,-75.3581,-2.959,1224.15,-103.8553
ivory-kiwi-ruby,-66.9101,-42.6845,-57.0552,-12.8146,2668.26,-99.7397
noble-tiger-rose,-40.8354,-35.2688,-5.27236,-4.51214,1428.41,-40.54116
deep-vole-ash,-3.6441,11.6146,-135.181,11.7775,1224.99,-123.56640000000002
rough-bison-maple,-134.5916,-87.2981,-129.686,-21.3563,3747.67,-216.9841
vast-vole-crystal,-192.0483,-105.605,-236.285,-39.1863,6073.6,-341.89
lunar-dove-ash,-125.1538,-56.0956,-251.978,-18.6626,6009.78,-308.0736
vast-deer-granite,-117.3071,-85.843,-242.19,16.9739,3158.35,-328.033
bright-raven-leaf,-94.64,-47.2706,-216.101,-4.14922,2183.34,-263.3716
hollow-wolf-ice,-268.0078,-134.909,-545.378,-24.0232,3828.48,-680.287
quick-lion-rose,-172.7171,-80.3302,-410.265,-10.3339,2741.32,-490.5952
brisk-orca-flint,-138.8079,-87.2375,-251.746,-1.22121,2736.41,-338.9835
small-bat-iron,-83.3532,-23.2708,-304.142,0.746018,2234.48,-327.4128
amber-shark-marble,-82.5921,-49.1914,-227.887,12.1767,1988.26,-277.0784
deep-mole-ruby,-116.9192,-65.3147,-235.926,-4.41928,2190.53,-301.2407
radiant-zebra-stone,-156.1219,-95.3177,-271.933,-6.41762,3065.89,-367.2507
violet-crane-marble,-151.8618,-80.4468,-330.422,-5.33055,2785.05,-410.8688
jade-bear-willow,-138.1415,-77.8516,-254.39,-9.41189,2554.77,-332.2416
shy-dove-lava,-41.0072,-34.3324,-55.1782,4.3608,1514.66,-89.5106
steady-wolf-granite,-70.3772,-39.1419,-193.185,7.40169,1725.17,-232.3269
rough-goat-ash,-88.5985,-45.7043,-215.787,0.263151,1807.16,-261.4913
radiant-ox-snow,-43.3162,-38.6408,-28.3463,0.993823,1280.15,-66.9871
scarlet-ibis-reed,-128.9748,-89.7763,-114.085,-16.3815,2830.75,-203.8613
violet-hawk-sand,-78.439,-48.3309,-34.4522,-23.2177,1968.31,-82.78309999999999
deep-bison-orchid,-34.0215,-26.7705,-118.049,16.3588,1373.61,-144.8195
jade-swan-pearl,-37.6119,-22.7105,-7.7225,-13.3569,798.003,-30.433
strong-fox-cloud,-56.264,-30.6153,-5.82818,-24.4831,1377.09,-36.44348
crimson-raven-onyx,-119.3851,-78.6305,-151.006,-10.5534,2608.37,-229.6365
radiant-wolf-granite,-82.7906,-40.6436,-257.2,9.29299,2109.07,-297.8436
violet-jaguar-leaf,-41.3536,-35.069,-40.2639,1.76816,1327.54,-75.3329
pale-raven-ice,-43.3117,-45.5801,-29.4089,8.15015,2005.97,-74.989
crimson-heron-iron,-68.0555,-36.5488,-224.303,13.3539,1858.79,-260.8518
swift-otter-ice,-30.7041,-32.1405,-16.6163,4.75965,1079.15,-48.7568
young-shark-wave,-87.4057,-55.7428,-135.872,-4.48853,2076.25,-191.6148
radiant-yak-ruby,-46.0362,-33.1319,-163.868,19.8693,1625.66,-196.9999
rapid-jaguar-wave,-59.9911,-49.3114,-85.9473,6.50972,1472.81,-135.2587
bright-quail-granite,-9.893,-8.48279,-49.3182,8.45339,881.291,-57.80099
rapid-zebra-bronze,-41.4498,-24.765,-100.858,3.48685,1465.94,-125.623
swift-jaguar-ash,-76.1162,-35.0647,-246.349,8.21828,1965.71,-281.4137
ivory-eagle-iron,-75.5103,-43.0584,-145.576,-3.33667,1721.61,-188.6344
solid-hawk-ruby,-119.2226,-71.3902,-106.657,-26.501,2671.96,-178.04719999999998
soft-eagle-lotus,-122.226,-75.7972,-244.947,2.56064,3536.25,-320.7442
crimson-falcon-plume,-53.7264,-17.4036,-233.022,10.2816,1602.43,-250.4256
mellow-owl-opal,-36.9713,-27.1791,-99.7795,10.1637,1380.31,-126.95859999999999
calm-moth-clay,-59.0983,-26.6147,-163.693,0.255034,1096.21,-190.3077
hollow-crane-birch,-44.2052,-42.0399,-130.136,23.8619,1823.05,-172.1759
crimson-cobra-ember,-78.3881,-52.6263,-117.298,-2.30224,1954.76,-169.92430000000002
rapid-heron-clay,-94.5034,-59.4129,-97.5268,-15.5851,1744.6,-156.9397
mellow-zebra-quartz,-28.5122,-22.7333,-23.9489,-0.989119,890.77,-46.682199999999995
steady-bear-thorn,-71.2694,-35.8654,-157.345,-3.93498,1754.82,-193.2104
noble-otter-cypress,-45.1678,-32.7073,-111.629,9.86528,1669.65,-144.3363
wild-zebra-lotus,-66.3194,-47.0251,-118.349,4.37552,2200.25,-165.3741
noble-gecko-reed,-33.1166,-17.3412,-154.767,15.178,1491.73,-172.1082
wild-panda-maple,-89.6855,-61.0411,-61.6479,-16.3148,1705.15,-122.689
azure-yak-rose,-49.5293,-42.6557,-69.2479,6.97602,1311.25,-111.90360000000001
green-mole-oak,-79.3305,-35.9405,-122.734,-18.8432,1960.15,-158.6745
green-ibis-wave,-5.2927,-15.9312,3.44818,9.94889,1082.84,-12.48302
silent-lion-pine,-101.7191,-44.8508,-133.289,-30.2105,2564.33,-178.13979999999998
mellow-jaguar-sand,-31.2246,-13.478,-154.19,13.0914,856.802,-167.668
swift-falcon-thorn,-96.9898,-71.8548,-42.0096,-16.7331,2796.68,-113.86439999999999
young-zebra-iron,-55.6421,-36.3492,12.2775,-21.7484,2069.97,-24.071700000000003
jade-ram-pine,-24.3042,-20.3255,-10.6419,-1.85035,692.563,-30.9674
frozen-cobra-vine,-48.6503,-32.5562,-161.345,16.1749,1529.46,-193.9012
solid-eagle-birch,-35.781,-12.3124,-117.705,0.0724023,963.404,-130.0174
calm-panther-plume,-86.5239,-51.3597,-155.307,-4.10285,2002.88,-206.6667
radiant-yak-moss,-49.7018,-20.1328,-99.5549,-9.65803,1336.7,-119.6877
swift-vole-crystal,-43.5871,-37.7703,-87.8685,11.7569,1899.16,-125.6388
steady-boar-onyx,-29.4348,-21.006,-9.68397,-6.49196,1288.37,-30.689970000000002
calm-tiger-birch,-114.4912,-68.7091,-125.914,-20.5993,2900.95,-194.62310000000002
noble-bat-lotus,-89.8001,-64.4984,-7.87245,-23.7272,2330.04,-72.37085
shy-toad-dust,-87.7965,-70.3838,-72.6989,-2.87294,1975.88,-143.0827
young-bee-dust,-20.4118,-5.75253,-12.9242,-12.0744,1254.03,-18.67673
amber-vole-frost,-37.4807,-25.735,-87.2491,5.70416,1298.19,-112.9841
small-ox-stone,-65.1786,-35.3123,-229.903,16.1143,1304.41,-265.2153
vast-hawk-rose,-75.2926,-53.649,-187.25,15.8064,2598.56,-240.899
misty-dove-stone,-35.2961,-38.6661,-22.8186,7.93368,1817.99,-61.484700000000004
vast-lynx-vine,-60.0672,-25.4528,-177.615,0.908623,1403.42,-203.0678
green-ant-quartz,-98.8571,-47.5396,-239.137,-3.49006,2163.45,-286.6766
azure-shark-pearl,-64.5099,-45.8756,-179.292,17.2241,1417.1,-225.1676
calm-panther-ruby,-38.7177,-5.40109,-312.9,29.2634,848.542,-318.30109
small-gecko-bronze,-145.7907,-89.4541,-174.59,-21.4186,3877.58,-264.0441
amber-falcon-flint,-64.6235,-44.1706,-83.9787,-3.65714,2000.19,-128.1493
ivory-crane-pearl,-24.9345,-20.1514,-75.06,10.2289,703.024,-95.2114
quick-kiwi-opal,-12.2103,7.22136,-142.61,9.09033,1214.52,-135.38864
wild-hawk-maple,-153.9236,-90.0187,-172.158,-29.4733,3254.11,-262.1767
bright-boar-dust,-62.4643,-26.2759,-238.036,11.4188,1520.42,-264.3119
frozen-toad-fern,-96.8919,-65.5281,-191.165,6.86916,2257.57,-256.69309999999996
crimson-lion-dust,-58.0634,-42.6695,-101.129,4.83191,1641.01,-143.7985
rough-eagle-ash,-290.4096,-162.663,-515.505,-24.6456,6816.96,-678.168
swift-deer-fern,-103.9244,-61.9855,-66.828,-28.5733,2694.5,-128.8135
crimson-heron-bronze,-76.0306,-44.4333,-164.574,1.31749,2466.24,-209.00730000000001
mellow-yak-cedar,-190.5052,-89.8492,-196.696,-61.3168,3693.32,-286.5452
quick-deer-leaf,-135.1982,-79.0148,-90.0326,-38.1769,4178.79,-169.04739999999998
frozen-cobra-maple,-204.7992,-79.0661,-492.268,-27.2795,3793.49,-571.3341
noble-crane-ivy,-289.3624,-113.056,-612.551,-53.7962,5204.79,-725.6070000000001
wild-bear-clay,9.7261,4.61127,-12.3948,7.59375,1780.71,-7.78353
scarlet-boar-cedar,-144.2927,-76.5941,-420.449,16.3912,3275.05,-497.0431
amber-otter-pine,-35.915,-28.7202,-59.6385,4.73291,2243.31,-88.3587
vast-toad-crystal,-19.9699,-18.6456,-24.7558,3.62691,889.68,-43.4014
calm-bat-onyx,-98.757,-56.507,-97.8209,-22.6858,2419.36,-154.3279
brisk-lion-frost,-119.9061,-69.3741,-107.272,-29.0776,2660.47,-176.6461
solid-hawk-bronze,-140.9368,-99.5415,-200.478,-1.2997,3213.3,-300.0195
steady-lynx-reed,-249.3626,-159.458,-140.625,-61.7796,5435.23,-300.08299999999997
misty-bison-oak,-31.7817,-40.5716,-45.6623,17.9224,2540.27,-86.2339
amber-bat-vine,-256.5195,-165.434,-338.201,-23.4453,5086.55,-503.635
swift-heron-ash,-174.5121,-96.1935,-354.193,-7.48001,2858.16,-450.38649999999996
steady-bat-lava,-174.7792,-76.6723,-471.043,-3.89828,2694.45,-547.7153000000001
shy-swan-stone,-144.336,-67.4712,-547.719,32.679,2866.93,-615.1902
violet-bat-wave,-89.5833,-52.9698,-260.876,15.5617,2374.12,-313.8458
small-quail-frost,-161.6575,-62.4088,-389.379,-21.3729,3014.05,-451.7878
brisk-cat-fern,-144.2064,-100.322,-169.21,-10.0424,3517.61,-269.53200000000004
calm-swan-dust,-91.3307,-50.7863,-145.787,-11.387,1902.87,-196.57330000000002
misty-zebra-frost,-100.7468,-69.0986,-180.56,4.46377,2496.85,-249.6586
small-shark-lotus,-90.8401,-62.8251,-167.36,5.45695,1980.11,-230.1851
noble-shark-vine,-41.0246,-25.1046,-132.44,10.568,1254.11,-157.5446
golden-lion-cypress,-136.8501,-90.6236,-254.869,4.74727,2775.92,-345.4926
steady-mole-ash,-159.1959,-122.624,-196.68,2.76408,3316.08,-319.304
pale-fox-dust,-94.2942,-64.3482,-85.7888,-12.7882,1961.95,-150.137
bright-bear-clay,-133.4786,-90.3455,-209.218,-1.28946,3403.68,-299.5635
vast-seal-frost,-162.1258,-107.357,-215.05,-11.7588,2619.04,-322.40700000000004
gentle-panther-onyx,-22.35,-16.6102,-49.9067,4.24155,1311.4,-66.51689999999999
shy-quail-marble,-147.9493,-84.3794,-265.082,-10.5535,3397.72,-349.4614
ivory-heron-ember,-92.6759,-69.9746,-41.642,-14.3729,1896.88,-111.6166
gentle-owl-topaz,-154.4807,-74.6228,-220.556,-35.7467,4379.06,-295.1788
strong-jaguar-granite,-121.6177,-83.1311,-122.937,-13.8992,2949.73,-206.06810000000002
rapid-crane-lotus,-163.627,-94.0656,-296.326,-10.2962,3328.92,-390.39160000000004
noble-falcon-ivy,-102.6392,-66.0219,-94.9945,-17.6184,2002.02,-161.0164
green-zebra-wave,-92.0692,-58.1512,-128.317,-8.25463,2912.06,-186.46820000000002
bright-shark-oak,-123.6385,-70.2636,-273.718,1.36872,2187.98,-343.9816
lunar-raven-maple,-142.1502,-94.262,-240.991,0.310014,2726.56,-335.25300000000004
pale-panther-opal,-144.3387,-92.1042,-305.647,8.89494,4036.87,-397.7512
amber-ant-maple,-132.2351,-89.2483,-268.683,10.7498,2972.37,-357.93129999999996
azure-hawk-wave,-64.0736,-34.1794,-129.08,-4.07816,1502.22,-163.25940000000003
soft-lynx-snow,-122.1911,-86.2455,-172.037,-1.53819,2589.59,-258.2825
dark-boar-ivy,-68.4177,-49.0196,-12.02,-16.9941,1468.88,-61.03959999999999
noble-lion-ember,-120.7982,-29.3514,-399.228,-11.6012,2569.0,-428.5794
silver-heron-pine,-150.8054,-54.7891,-417.458,-12.5247,2663.58,-472.24710000000005
frozen-ibis-ash,-131.4461,-64.5811,-333.471,-0.170792,2520.74,-398.0521
silent-crane-ember,-180.0038,-115.946,-345.104,4.96296,4057.83,-461.04999999999995
jade-seal-ember,-112.0241,-92.1799,-48.0977,-10.2247,2645.05,-140.2776
rapid-goat-pine,-40.4693,-38.2031,-47.2419,7.18223,2284.49,-85.445
radiant-zebra-frost,-145.4119,-87.0695,-478.987,37.455,3708.92,-566.0565
scarlet-bison-pearl,-64.1182,-40.7572,-112.628,-0.83542,2388.23,-153.3852
quiet-fox-ivy,-70.387,-39.2219,-95.7369,-12.0177,2506.45,-134.9588
shy-dove-wave,-106.9701,-60.2608,-222.942,-2.1209,2663.39,-283.2028
scarlet-seal-marble,-49.3712,-45.6461,-123.124,20.8997,1530.63,-168.77009999999999
rapid-lynx-rose,-162.4225,-78.8524,-414.903,-0.589535,3095.03,-493.7554
steady-ox-ice,-116.6169,-60.895,-188.249,-18.0721,2896.29,-249.144
azure-yak-ruby,-14.4352,-0.502984,-68.7293,-0.18633,953.351,-69.23228399999999
jade-lion-pearl,-74.6263,-35.1085,-145.048,-10.5082,2732.25,-180.1565
calm-raven-ivy,-71.3196,-39.7007,-89.0251,-13.8139,2832.0,-128.7258
calm-crane-moss,-64.2801,-37.8114,-76.9188,-11.0849,2388.49,-114.7302
silver-crow-oak,-184.2209,-89.5443,-269.914,-40.6938,2964.07,-359.4583
rapid-vole-plume,-247.6982,-139.726,-178.024,-72.3674,4582.98,-317.75
mellow-gecko-pine,-83.6771,-84.1404,-94.6346,19.3902,2958.39,-178.775
wild-yak-stone,-100.3745,-34.1355,-260.564,-14.1262,3566.8,-294.6995
amber-bison-pearl,-88.7925,-40.8741,-285.728,9.22725,3675.11,-326.6021
quick-moth-sand,-139.2704,-91.8381,-280.804,8.72852,3488.27,-372.64209999999997
jade-ox-thorn,-87.8019,-29.8202,-229.839,-12.0139,3670.48,-259.6592
green-swan-frost,-77.9245,-41.605,-293.521,22.3847,3460.2,-335.12600000000003
ivory-raven-pine,-135.0662,-77.4679,-8.30636,-55.937,3846.08,-85.77426
azure-panther-cypress,-47.9035,-13.4062,-161.921,-2.1131,1071.35,-175.3272
gentle-bee-oak,-34.8245,-29.9927,-40.4645,3.26107,1528.51,-70.4572
deep-bat-oak,-101.4892,-66.3359,-194.337,3.71406,2255.24,-260.67289999999997
young-vole-fern,-56.023,-21.6752,-219.827,9.61763,802.124,-241.5022
strong-boar-crystal,-38.6267,-28.8189,-73.3996,4.87215,2254.67,-102.2185
gentle-kiwi-lotus,-129.0996,-62.9868,-185.027,-29.1074,4400.39,-248.0138
misty-heron-pine,-196.7608,-118.159,-275.388,-23.5242,2916.17,-393.54699999999997
misty-shark-willow,-59.8388,-34.3142,-102.302,-5.06423,1560.75,-136.6162
golden-crane-birch,-93.0876,-58.3101,-131.925,-8.3925,3093.58,-190.23510000000002
hollow-deer-iron,-53.9775,-24.0987,-189.173,7.95585,1055.26,-213.2717
quiet-wolf-dust,-206.6019,-120.657,-364.138,-13.1173,4962.04,-484.79499999999996
scarlet-panther-pine,-54.3016,-37.9603,-76.3161,-1.07806,1819.9,-114.2764
scarlet-wolf-cedar,-72.9335,-52.3701,-88.0627,-2.95082,1972.6,-140.43280000000001
crimson-seal-crystal,-62.5595,-29.7476,-242.994,15.7869,1421.2,-272.7416
rough-falcon-ash,-86.6314,-54.0825,-176.228,2.69666,2266.07,-230.31050000000002
misty-deer-wave,-159.518,-86.1314,-393.722,5.35776,3733.37,-479.85339999999997
scarlet-mole-wave,-63.2648,-26.6289,-50.4937,-26.5372,1857.45,-77.1226
silver-ibis-opal,-65.1884,-62.2554,-79.9762,13.0622,2184.94,-142.23160000000001
quiet-bat-plume,-10.4637,-23.3439,-125.329,37.946,2130.68,-148.6729
silent-raven-fern,-52.2665,-26.5916,-192.745,12.8741,1849.77,-219.3366
violet-mole-frost,-84.0618,-53.3824,-270.777,23.476,1876.21,-324.1594
brisk-bat-frost,-77.3638,-51.4217,-135.585,1.17489,2402.33,-187.00670000000002
lunar-quail-crystal,-30.4302,-14.7597,-94.346,3.19871,1897.82,-109.1057
silver-swan-stone,-247.8492,-185.97,-216.995,-18.4802,7159.84,-402.96500000000003
lunar-toad-pine,-186.2071,-166.782,-10.0167,-17.4218,5664.73,-176.7987
rapid-heron-iron,-85.1927,-60.657,-108.188,-2.89814,2549.78,-168.845
deep-owl-ice,-38.1169,-26.1712,6.52073,-13.2498,1220.71,-19.65047
quiet-falcon-pine,-49.3492,-28.5141,-3.83078,-20.0689,1433.43,-32.344879999999996
soft-tiger-leaf,-80.4969,-52.7789,-57.48,-16.222,1470.75,-110.2589
rough-kiwi-birch,-47.603,-32.1736,-0.768565,-15.2757,1797.14,-32.942165
golden-bat-snow,-48.3443,-27.5012,-21.8252,-16.4781,1214.77,-49.3264
hollow-otter-maple,-35.2539,-18.855,-33.9852,-9.60189,1421.07,-52.840199999999996
dark-shark-lava,-35.182,-24.7449,-7.03267,-9.03058,1359.44,-31.77757
violet-hawk-maple,-47.6406,-20.4791,-79.4125,-11.279,1274.75,-99.8916
quick-owl-fern,-55.1911,-29.7832,-57.1691,-13.9741,1194.49,-86.95230000000001
scarlet-lynx-snow,-68.1768,-30.9465,-152.721,-6.6861,1545.16,-183.66750000000002
bright-jaguar-reed,-183.0431,-107.301,-140.454,-47.6513,4992.27,-247.755
shy-lynx-ivy,-97.2596,-74.0994,-47.6687,-13.6265,3183.92,-121.7681
ivory-crow-cedar,-67.0251,-44.2284,-208.495,18.9023,2496.09,-252.7234
soft-ram-vine,-171.5647,-69.9176,-204.813,-60.6845,5841.27,-274.7306
brisk-lynx-iron,-78.8561,-20.4227,-257.68,-6.89736,3653.87,-278.1027
noble-orca-birch,-32.9104,-10.2446,-147.116,6.75744,1979.12,-157.3606
lunar-ram-fern,-112.3467,-84.654,-116.902,-4.31229,4788.52,-201.55599999999998
misty-gecko-marble,-2.1656,-0.159094,-101.782,18.3499,3066.87,-101.94109399999999
solid-bat-lotus,-45.3964,-14.8308,-110.793,-8.40698,1272.34,-125.6238
shy-owl-lava,-81.0649,-52.7186,-46.3254,-19.0812,1607.93,-99.04400000000001
